Title_CN,Title_EN,Date,Domestic/International,Audience,Type,AI_Term_Counts,Reporting Duplicate? (Y/N),URL
习近平在中国科学院第十七次院士大会、中国工程院第十二次院士大会上的讲话,Xi Jinping's Speech at the 17th Academician Conference of the Chinese Academy of Sciences and the 12th Academician Conference of the Chinese Academy of Engineering,2014-06-09,Domestic,Academia/Scientists,speech transcript,人工智能(4),N,https://jhsjk.people.cn/article/25125270
习近平在中国科学院第十九次院士大会、中国工程院第十四次院士大会上的讲话,Xi Jinping's Speech at the 19th Academician Conference of the Chinese Academy of Sciences and the 14th Academician Conference of the Chinese Academy of Engineering,2014-06-09,Domestic,Academia/Scientists,speech transcript,人工智能(6); 深度学习(2); 算法(2),N,https://jhsjk.people.cn/article/30019426
习近平：在中国科学院第十七次院士大会、中国工程院第十二次院士大会上的讲话,Xi Jinping: Speech at the 17th Academician Conference of the Chinese Academy of Sciences and the 12th Academician Conference of the Chinese Academy of Engineering,2014-06-09,Domestic,Academia/Scientists,speech transcript,人工智能(4),Y,https://jhsjk.people.cn/article/25125594
努力成为世界主要科学中心和创新高地,Strive to Become a Major World Science Center and Innovation Highland,2014-06-09,International,Academia/Scientists,speech transcript,人工智能(4); 算法(2),Y,https://jhsjk.people.cn/article/32051839
习近平会见英国首相特雷莎·梅,Xi Jinping Meets with British Prime Minister Theresa May,2015-01-01,International,Other Heads of State / Foreign Leaders,meeting description,人工智能(2),Y,https://jhsjk.people.cn/article/29801192
习近平在省部级主要领导干部学习贯彻党的十八届五中全会精神专题研讨班上的讲话,Xi Jinping's Speech at the Special Seminar for Principal Leading Cadres at Provincial and Ministerial Level on Studying and Implementing the Spirit of the Fifth Plenary Session of the 18th CPC Central Committee,2016-01-18,Domestic,Government Officials,speech transcript,人工智能(2),N,https://jhsjk.people.cn/article/28337020
习近平会见捷克总统泽曼,Xi Jinping Meets with Czech President Zeman,2016-03-01,International,Other Heads of State / Foreign Leaders,meeting description,人工智能(2),N,https://jhsjk.people.cn/article/30383218
习近平：加强改革创新开创发展新局面,Xi Jinping: Strengthen Reform and Innovation to Create a New Development Situation,2016-04-27,Domestic,Provincial/Municipal Officials & Citizens,visit description,人工智能(2),N,https://jhsjk.people.cn/article/28309757
习近平：全面落实“十三五”规划纲要 加强改革创新开创发展新局面,"Xi Jinping: Comprehensively Implement the ""13th Five-Year Plan"" Outline, Strengthen Reform and Innovation to Create a New Development Situation",2016-04-28,Domestic,Academia/Scientists,visit description,人工智能(2),Y,https://jhsjk.people.cn/article/28310052
习近平出席B20峰会开幕式并发表主旨演讲（全文）,Xi Jinping Attends B20 Summit Opening Ceremony and Delivers Keynote Speech (Full Text),2016-09-03,International,Business/Industry,speech transcript,人工智能(2),N,https://jhsjk.people.cn/article/28689036
习近平：中国发展新起点 全球增长新蓝图,"Xi Jinping: China's New Starting Point for Development, New Blueprint for Global Growth",2016-09-03,International,Government Officials,meeting description,人工智能(2),Y,https://jhsjk.people.cn/article/28690521
让人类命运共同体理念照亮未来——写在习近平主席二〇一七年首次出访之际,Let the Concept of a Community with a Shared Future for Mankind Illuminate the Future — Written on the Occasion of President Xi Jinping's First Visit Abroad in 2017,2017-01-15,International,Other Heads of State / Foreign Leaders,visit description,人工智能(2),N,https://jhsjk.people.cn/article/29023718
习近平在世界经济论坛2017年年会开幕式上的主旨演讲,Xi Jinping's Keynote Speech at the Opening Ceremony of the World Economic Forum 2017 Annual Meeting,2017-01-17,International,Other Heads of State / Foreign Leaders,meeting description,人工智能(2),N,https://jhsjk.people.cn/article/29032027
习近平主席在世界经济论坛2017年年会开幕式上的主旨演讲（全文）,President Xi Jinping's Keynote Speech at the Opening Ceremony of the World Economic Forum 2017 Annual Meeting (Full Text),2017-01-17,International,Other Heads of State / Foreign Leaders,meeting description,人工智能(2),Y,https://jhsjk.people.cn/article/29031339
习近平在“一带一路”国际合作高峰论坛开幕式上的演讲,Xi Jinping's Speech at the Opening Ceremony of the Belt and Road Forum for International Cooperation,2017-05-14,International,Other Heads of State / Foreign Leaders,speech transcript,人工智能(2),Y,https://jhsjk.people.cn/article/29273979
习近平：坚持开放包容 推动联动增长,"Xi Jinping: Uphold Openness and Inclusiveness, Promote Interconnected Growth",2017-07-07,International,Other Heads of State / Foreign Leaders,speech transcript,人工智能(2),N,https://jhsjk.people.cn/article/29391615
习近平继续出席二十国集团领导人第十二次峰会,Xi Jinping Continues to Attend the 12th G20 Leaders' Summit,2017-07-09,International,Business/Industry,speech transcript,人工智能(2),Y,https://jhsjk.people.cn/article/29392280
习近平：站在更高起点谋划和推进改革,Xi Jinping: Plan and Advance Reform from a Higher Starting Point,2017-08-29,Domestic,Party/CCP Officials,meeting description,人工智能(2),N,https://jhsjk.people.cn/article/29502441
习近平：加强领导总结经验运用规律 站在更高起点谋划和推进改革,"Xi Jinping: Strengthen Leadership, Summarize Experience, Apply Laws, Plan and Advance Reform from a Higher Starting Point",2017-08-30,Domestic,Party/CCP Officials,speech transcript,人工智能(2),Y,https://jhsjk.people.cn/article/29503398
习近平：决胜全面建成小康社会 夺取新时代中国特色社会主义伟大胜利,Xi Jinping: Secure a Decisive Victory in Building a Moderately Prosperous Society in All Respects and Strive for the Great Success of Socialism with Chinese Characteristics for a New Era,2017-10-18,Domestic,Party/CCP Officials,speech transcript,人工智能(2),N,https://jhsjk.people.cn/article/29613458
习近平在中国共产党第十九次全国代表大会上的报告,Xi Jinping's Report at the 19th National Congress of the Communist Party of China,2017-10-18,Domestic,Academia/Scientists,speech transcript,人工智能(2),Y,https://jhsjk.people.cn/article/29613660
抓住世界经济转型机遇 谋求亚太更大发展,Seize Opportunities in the Transformation of the World Economy and Seek Greater Development for the Asia-Pacific,2017-11-11,International,Government Officials,meeting description,人工智能(4),N,https://jhsjk.people.cn/article/29639925
携手谱写亚太合作共赢新篇章,Work Together to Write a New Chapter of Win-Win Cooperation in the Asia-Pacific,2017-11-12,Domestic,Government Officials,meeting description,人工智能(2),Y,https://jhsjk.people.cn/article/29640594
习近平在中国共产党与世界政党高层对话会上的主旨讲话,Xi Jinping's Keynote Speech at the CPC in Dialogue with World Political Parties High-Level Meeting,2017-12-02,International,Government Officials,speech transcript,人工智能(2),N,https://jhsjk.people.cn/article/29681332
习近平致信祝贺第四届世界互联网大会开幕,Xi Jinping Sends Congratulatory Letter on the Opening of the Fourth World Internet Conference,2017-12-03,International,Government Officials,speech transcript,人工智能(2),N,https://jhsjk.people.cn/article/29682622
习近平致第四届世界互联网大会的贺信,Xi Jinping's Congratulatory Letter to the Fourth World Internet Conference,2017-12-03,International,Government Officials,meeting description,人工智能(2),Y,https://jhsjk.people.cn/article/29682693
习近平：尊重网络主权 发扬伙伴精神 共同搭乘互联网和数字经济发展的快车,"Xi Jinping: Respect Cyber Sovereignty, Foster Partnership Spirit, and Board Together the Fast Train of Internet and Digital Economy Development",2017-12-04,International,Other Heads of State / Foreign Leaders,speech transcript,人工智能(2),Y,https://jhsjk.people.cn/article/29683103
习近平：审时度势精心谋划超前布局力争主动 实施国家大数据战略加快建设数字中国,"Xi Jinping: Assess the Situation Carefully, Plan Ahead Strategically, Strive for Initiative, Implement National Big Data Strategy and Accelerate the Construction of Digital China",2017-12-10,Domestic,Party/CCP Officials,speech transcript,人工智能(2),N,https://jhsjk.people.cn/article/29696484
